Date : 2022-03-18 00:12:49
Directory : c:\xampp\htdocs\soften2-jobseeker-system
Total : 619 files,  200274 codes, 42119 comments, 35773 blanks, all 278166 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-cs.php                                                  | PHP        |         22 |          4 |          3 |         29 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-da.php                                                  | PHP        |         20 |          7 |          3 |         30 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-de.php                                                  | PHP        |         22 |          4 |          3 |         29 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-el.php                                                  | PHP        |         19 |          5 |          3 |         27 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-eo.php                                                  | PHP        |         20 |          4 |          3 |         27 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-es.php                                                  | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-et.php                                                  | PHP        |         20 |          6 |          3 |         29 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-fa.php                                                  | PHP        |         20 |          6 |          3 |         29 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-fi.php                                                  | PHP        |         14 |         12 |          3 |         29 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-fo.php                                                  | PHP        |         13 |         12 |          3 |         28 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-fr.php                                                  | PHP        |         28 |          8 |          3 |         39 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-gl.php                                                  | PHP        |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-he.php                                                  | PHP        |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-hi.php                                                  | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-hr.php                                                  | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-hu.php                                                  | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-hy.php                                                  | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-id.php                                                  | PHP        |         22 |          7 |          3 |         32 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-it.php                                                  | PHP        |         20 |          6 |          3 |         29 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-ja.php                                                  | PHP        |         20 |          7 |          3 |         30 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-ka.php                                                  | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-ko.php                                                  | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-lt.php                                                  | PHP        |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-lv.php                                                  | PHP        |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-mg.php                                                  | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-ms.php                                                  | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-nb.php                                                  | PHP        |         20 |          4 |          3 |         27 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-nl.php                                                  | PHP        |         27 |          5 |          3 |         35 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-pl.php                                                  | PHP        |         21 |          4 |          3 |         28 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-pt.php                                                  | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-pt_br.php                                               | PHP        |         27 |          9 |          3 |         39 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-ro.php                                                  | PHP        |         27 |          4 |          3 |         34 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-ru.php                                                  | PHP        |         20 |          6 |          3 |         29 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-sk.php                                                  | PHP        |         22 |          6 |          3 |         31 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-sl.php                                                  | PHP        |         27 |          7 |          3 |         37 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-sr.php                                                  | PHP        |         20 |          6 |          3 |         29 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-sr_latn.php                                             | PHP        |         20 |          6 |          3 |         29 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-sv.php                                                  | PHP        |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-tl.php                                                  | PHP        |         20 |          6 |          3 |         29 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-tr.php                                                  | PHP        |         20 |          9 |          3 |         32 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-uk.php                                                  | PHP        |         20 |          6 |          3 |         29 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-vi.php                                                  | PHP        |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-zh.php                                                  | PHP        |         20 |          7 |          3 |         30 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-zh_cn.php                                               | PHP        |         20 |          7 |          3 |         30 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\src\Exception.php                                                               | PHP        |          9 |         28 |          4 |         41 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\src\OAuth.php                                                                   | PHP        |         46 |         79 |         15 |        140 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\src\OAuthTokenProvider.php                                                      | PHP        |          6 |         35 |          4 |         45 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\src\PHPMailer.php                                                               | PHP        |      2,827 |      1,865 |        380 |      5,072 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\src\POP3.php                                                                    | PHP        |        178 |        233 |         52 |        463 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\src\SMTP.php                                                                    | PHP        |        718 |        598 |        141 |      1,457 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\accountVerify.php                                                                         | PHP        |         20 |          2 |          8 |         30 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\db-connection.php                                                                         | PHP        |          9 |          2 |          2 |         13 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\employerOtp.php                                                                           | PHP        |         73 |          1 |         15 |         89 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\employerSendOtp.php                                                                       | PHP        |         60 |          0 |         11 |         71 |
| c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\randomString.php                                                                          | PHP        |         11 |          0 |          4 |         15 |
| c:\xampp\htdocs\soften2-jobseeker-system\employerSignup.php                                                                                     | PHP        |         70 |        112 |         11 |        193 |
| c:\xampp\htdocs\soften2-jobseeker-system\footer.php                                                                                             | PHP        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\soften2-jobseeker-system\header.php                                                                                             | PHP        |         13 |          0 |          2 |         15 |
| c:\xampp\htdocs\soften2-jobseeker-system\index.php                                                                                              | PHP        |        110 |          0 |          7 |        117 |
| c:\xampp\htdocs\soften2-jobseeker-system\jobseekerSignup.php                                                                                    | PHP        |         76 |        177 |         11 |        264 |
| c:\xampp\htdocs\soften2-jobseeker-system\queries\addJobseekerEducation.php                                                                      | PHP        |         19 |          0 |          7 |         26 |
| c:\xampp\htdocs\soften2-jobseeker-system\queries\randomString.php                                                                               | PHP        |         11 |          0 |          4 |         15 |
| c:\xampp\htdocs\soften2-jobseeker-system\queries\updateAddress.php                                                                              | PHP        |         13 |          0 |          7 |         20 |
| c:\xampp\htdocs\soften2-jobseeker-system\queries\updateEmployerInfo.php                                                                         | PHP        |         46 |          3 |         20 |         69 |
| c:\xampp\htdocs\soften2-jobseeker-system\queries\updateImage.php                                                                                | PHP        |         23 |          0 |         12 |         35 |
| c:\xampp\htdocs\soften2-jobseeker-system\queries\updateJobSeekerSkills.php                                                                      | PHP        |         13 |          0 |          6 |         19 |
| c:\xampp\htdocs\soften2-jobseeker-system\queries\updateJobseekerCeo.php                                                                         | PHP        |         13 |          0 |          6 |         19 |
| c:\xampp\htdocs\soften2-jobseeker-system\queries\updateJobseekerInfo.php                                                                        | PHP        |         43 |          3 |         18 |         64 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\.github\workflows\npm-publish.yml                                                       | YAML       |         40 |          2 |          6 |         48 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\gulpfile.js                                                                             | JavaScript |        214 |          4 |         15 |        233 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\.bower.json                                                                     | JSON       |         47 |          0 |          0 |         47 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\README.md                                                                       | Markdown   |        218 |          0 |         78 |        296 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\bower.json                                                                      | JSON       |         36 |          0 |          1 |         37 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.animate.js                                                         | JavaScript |          4 |          0 |          1 |          5 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.brighttheme.css                                                    | CSS        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.buttons.css                                                        | CSS        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.buttons.js                                                         | JavaScript |          8 |          0 |          1 |          9 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.callbacks.js                                                       | JavaScript |          2 |          0 |          1 |          3 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.confirm.js                                                         | JavaScript |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.css                                                                | CSS        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.desktop.js                                                         | JavaScript |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.history.css                                                        | CSS        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.history.js                                                         | JavaScript |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.js                                                                 | JavaScript |         26 |          5 |          1 |         32 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.material.css                                                       | CSS        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.mobile.css                                                         | CSS        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.mobile.js                                                          | JavaScript |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.nonblock.css                                                       | CSS        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.nonblock.js                                                        | JavaScript |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.reference.js                                                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\dist\pnotify.tooltip.js                                                         | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\pnotify\libtests\browserify\index.js                                                    | JavaScript |         20 |          1 |          5 |         26 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\fonts\dropways\dropways.css                                                         | CSS        |      4,162 |          2 |          4 |      4,168 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\fonts\dropways\dropways.svg                                                         | XML        |      1,390 |          0 |          0 |      1,390 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\fonts\font-awesome\css\font-awesome.css                                             | CSS        |      2,327 |         10 |          1 |      2,338 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\fonts\font-awesome\css\font-awesome.min.css                                         | CSS        |          1 |          3 |          1 |          5 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\fonts\font-awesome\fonts\fontawesome-webfont.svg                                    | XML        |      2,671 |          0 |          1 |      2,672 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\fonts\foundation-icons\foundation-icons.css                                         | CSS        |        586 |          5 |          4 |        595 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\fonts\foundation-icons\foundation-icons.svg                                         | XML        |        967 |          3 |          1 |        971 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\fonts\ionicons-master\css\ionicons.css                                              | CSS        |        736 |         11 |        734 |      1,481 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\fonts\ionicons-master\css\ionicons.min.css                                          | CSS        |          2 |          9 |          1 |         12 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\fonts\ionicons-master\fonts\ionicons.svg                                            | XML        |      2,227 |          3 |          1 |      2,231 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\fonts\themify-icons\fonts\themify.svg                                               | XML        |        362 |          0 |          0 |        362 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\fonts\themify-icons\themify-icons.css                                               | CSS        |      1,077 |          1 |          4 |      1,082 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\images\briefcase.svg                                                                | XML        |         11 |          0 |          1 |         12 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\images\cancel.svg                                                                   | XML        |         15 |          1 |          1 |         17 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\images\demo.svg                                                                     | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\images\deskapp-logo-white.svg                                                       | XML        |         11 |          0 |          1 |         12 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\images\deskapp-logo.svg                                                             | XML        |         11 |          0 |          1 |         12 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\images\github.svg                                                                   | XML        |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\images\menu-icon.svg                                                                | XML        |         19 |          0 |          1 |         20 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\images\page-icon.svg                                                                | XML        |         11 |          0 |          0 |         11 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\images\person.svg                                                                   | XML        |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\images\plyr.svg                                                                     | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\images\tick.svg                                                                     | XML        |         11 |          1 |          1 |         13 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\css\datepicker.css                                      | CSS        |        574 |         12 |         37 |        623 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\css\datepicker.min.css                                  | CSS        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\datepicker.js                                        | JavaScript |      1,790 |         83 |        363 |      2,236 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\datepicker.min.js                                    | JavaScript |          2 |          0 |          0 |          2 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.cs.js                                | JavaScript |         12 |          0 |          0 |         12 |
| c:\xampp\htdocs\soften2-jobseeker-system\template-files\src\plugins\air-datepicker\dist\js\i18n\datepicker.da.js                                | JavaScript |         12 |          0 |          0 |         12 |
